,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,f/mf,,p /pp,,mp /p,,,f,,,,MAKE LONGER,,,,,,,,,,,,,,Choral Interlude,,,,,,,,
,,,,,,,make longer,,,,,,,,,,two sec scatters,,,,,,,,,,,also make different yellow in part 2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"*raindrops, yarn mallets",,,,,*this is the arm thing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,*,,*,,*,,,*,,,*hand muting yellow,,,,ARM,,,,,,,*hand playing yellow,,,,,,,,,,,,
Part 1,,,,,,blue,blue,blue,blue,blue,green,orange,orange,orange,orange,black,red,black,blue,black,blue,black,black,green,black,purple,purple,black,black,purple,arm1,arm2,arm3,arm4,arm5,arm6,arm7,yellow,yellow,yellow,yellow,choral,red,red,rainbow,rainbow,rainbow,red,redend,
Part 2,,blue,blue,blue,black,black,blue,blue,blue,blue,green,blue,red,red,red,black,red,black,green,black,blue,black,black,red,black,black,yellow,yellow,yellow,yellow,arm1,arm2,arm3,arm4,arm5,arm6,arm7,black,blue,black,green,choral,purple,purple,rainbow,rainbow,red,red,redend,
Part 3,,,blue,blue,blue,blue,blue,green,blue,blue,blue,blue,blue,green,green,black,orange,black,green,black,black,red,black,orange,black,black,black,black,purple,purple,arm1,arm2,arm3,arm4,arm5,arm6,arm7,yellow,yellow,yellow,purple,choral,purple,orange,rainbow,rainbow,rainbow,rainbow,redend,
Part 4,,,,blue,blue,blue,blue,blue,blue,green,blue,blue,blue,blue,orange,black,orange,black,blue,black,black,red,black,blue,black,black,black,black,black,yellow,arm1,arm2,arm3,arm4,arm5,arm6,arm7,black,black,blue,yellow,choral,yellow,yellow,rainbow,red,red,red,redend,
dur,5,10,10,10,10,10,5,15,5,15,15,13,12,10,15,10,20,10,20,10,15,15,10,15,4,16,10,5,15,30,10,10,10,10,20,10,20,7,8,7,18,60,20,15,50,10,10,10,10,5
total,0,5,15,25,35,45,55,60,75,80,95,110,123,135,145,160,170,190,200,220,230,245,260,270,285,289,305,315,320,335,365,375,385,395,405,425,435,455,462,470,477,495,555,575,590,640,650,660,670,680
Minutes,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,,4,4,4,4,5,5,5,5,6,,,,,,,7,7,7,7,8,9,9,9,10,10,11,11,11
Seconds,0,5,15,25,35,45,55,0,15,20,35,50,3,15,25,40,50,10,20,40,50,,20,30,45,49,5,15,20,35,5,,,,,,,35,42,50,57,15,15,35,50,40,50,0,10,20
,0:00,0:05,0:15,0:25,0:35,0:45,0:55,1:00,1:15,1:20,1:35,1:50,2:03,2:15,2:25,2:40,2:50,3:10,3:20,3:40,3:50,4:05,4:20,4:30,4:45,4:49,5:05,5:15,5:20,5:35,6:05,6:15,6:25,6:35,6:45,7:05,7:15,7:35,7:42,7:50,7:57,8:15,9:15,9:35,9:50,10:40,10:50,11:00,11:10,11:20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the ceeeeel phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,blue,cyan,blue,blue,blue,cyan,blue,blue,blue,cyan,green,green,blue,blue,Magenta,Magenta,Magenta,green,green,blue,blue,Purple,Purple,Purple,Purple,blue,yellow,yellow,yellow,yellow,blue,blue,blue,blue,blue,Cyan,blue,blue,blue,blue,Purple,Purple,Red,orange,rainbow,rainbow,rainbow,blue,blue,
2,blue,blue,cyan,blue,blue,cyan,blue,blue,blue,cyan,green,green,blue,blue,Magenta,Magenta,Magenta,green,green,blue,purple,blue,Yellow,Yellow,Yellow,blue,Magenta,Magenta,magenta,Magenta,blue,blue,blue,blue,blue,blue,blue,blue,Red,Red,Purple,Purple,Purple,orange,rainbow,rainbow,rainbow,blue,blue,
3,blue,blue,blue,cyan,blue,cyan,blue,blue,blue,blue,cyan,green,green,green,green,green,green,Magenta,Magenta,blue,purple,blue,Magenta,Magenta,Magenta,blue,blue,blue,Cyan,Cyan,blue,blue,blue,Cyan,blue,blue,blue,blue,blue,blue,Purple,Purple,yellow,orange,rainbow,rainbow,rainbow,blue,blue,
4,blue,blue,blue,blue,cyan,cyan,blue,blue,blue,blue,cyan,green,green,green,green,green,green,Magenta,Magenta,blue,blue,Purple,Cyan,Cyan,Cyan,blue,purple,purple,purple,purple,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,Purple,Purple,Cyan,orange,rainbow,rainbow,rainbow,cyan,blue,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,sticks,,,,,,highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,big melody,,,,,,1,vibe (high),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,playing w/ fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,big alternating notes,,,,,,3,vibe (bass),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,rolls,,,,,,,,lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,super quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
